@lat	@lon	addr:street	addr:housenumber	name
50.0611418	19.9390342	Sienna	4	Gruzińskie Chaczapuri
50.0621648	19.9391253	Rynek Główny	47	Bank Pekao
50.0622375	19.9390000	Rynek Główny	47	Bankowa
50.0622651	19.9388086	Rynek Główny	46	The Piano Rouge
50.0622490	19.9388740	Rynek Główny	46	Pijalnia czekolady E. Wedel
50.0623085	19.9387022	Rynek Główny	45	Vintage
50.0623792	19.9384689	Rynek Główny	44	Staropolska
50.0624499	19.9383535	Rynek Główny	43	Pod Słońcem
50.0624791	19.9383733	Rynek Główny	43	Gehanowska
50.0624649	19.9381975	Rynek Główny	42	Restauracja Bonerowska
50.0625781	19.9378302	Rynek Główny	41	Restauracja Loża - Klub Aktora
50.0626768	19.9375792	Rynek Główny	39	Rząd Regionalny Kurdystanu - biuro pełnomocnika w Polsce
50.0627314	19.9376145	Rynek Główny	39	Pod Krzyżykiem
50.0627812	19.9371812	Rynek Główny	36	Muzyczna
50.0628187	19.9373366	Rynek Główny	37	Lekarska Spółdzielnia Pracy
50.0627113	19.9374057	Rynek Główny	38	Redolfi
50.0560182	19.9284264	Plac Juliusza Kossaka	1	Hotel Kossak
50.0620524	19.9358577	Szewska	2	McDonald's
50.0623304	19.9356880	Szewska	5	Frantic Club
50.0623201	19.9356875	Szewska	5	Shakers
50.0622001	19.9352038	Szewska	4	Szewska 4 Resto Bar
50.0626424	19.9348721	Szewska	13	BaniaLuka
50.0628486	19.9338577	Szewska	22	Szewska 22 Boutique
50.0617389	19.9345603	Świętej Anny	5	Milk Bar
50.0617393	19.9346308	Świętej Anny	5	Konsulat Królestwa Danii
50.0162384	19.9092738	Obozowa	64	Żabka
50.0630588	19.9368173	Sławkowska	2	"Pool Bar ""U Kacpra"""
50.0631698	19.9369505	Sławkowska	4	Darts Cafe Bar
50.0633379	19.9374505	Sławkowska	3	"Hotel Saski Krakow, Curio Collection by Hilton"
50.0636989	19.9373271	Świętego Tomasza	10	Figa z Makiem
50.0638406	19.9374851	Świętego Tomasza	12	Jazz Rock Cafe
50.0639096	19.9375955	Sławkowska	14	Jan Fejkiel Gallery
50.0639605	19.9379004	Sławkowska	11	Chicago live Music
50.0640163	19.9379537	Sławkowska	13-15	Ice Station
50.0640087	19.9408844	Floriańska	43	Beer House
50.0646564	19.9413549	Floriańska	55	McDonald's
50.0644129	19.9413500	Floriańska	53	Społem Deluxe
50.0647515	19.9410997	Floriańska	44	Lampert
50.0647065	19.9410682	Floriańska	44	Cracow City Tours
50.0646625	19.9410432	Floriańska	42	Carrefour Express
50.0646244	19.9410118	Floriańska	42	Pryzmat
50.0645821	19.9409837	Floriańska	42	Souvenirs
50.0644848	19.9409190	Floriańska	40	Karmello
50.0640085	19.9405584	Floriańska	30	Piwnica Pod Złotą Pipą
50.0639608	19.9405803	Floriańska	30	Centrum Last Minute
50.0633754	19.9405470	Floriańska	29	Tutti Frutti
50.0634971	19.9401982	Floriańska	24	Pączkarnia
50.0630658	19.9402457	Floriańska	21	Taste POLAND
50.0629752	19.9401999	Floriańska	17	Millennium Bank
50.0630042	19.9397311	Floriańska	14	Pod Różą
50.0621882	19.9395855	Floriańska	3	Jazz Club U Muniaka
50.0542553	19.9253577	Tadeusza Kościuszki	18	Antykwariat Abecadło
50.0687675	20.0123319	Centralna	40A	Shot Market
50.0719117	20.0286454	Aleja Jana Pawła II	200	Circle K
50.0642733	19.9032568	Piastowska	25a	
50.0751690	19.9975681	Aleja Jana Pawła II	37	
49.9992696	19.8952590	Profesora Bolesława Wiktora Wicherkiewicza	23B	Dbam o Zdrowie
49.9988757	19.8958284	Profesora Bolesława Wiktora Wicherkiewicza	22	FUP Kraków 11
49.9978384	19.9022360	Mieczykowa	22	
49.9991798	19.9015948	Mieczykowa	2	
49.9988726	19.9022926	Mieczykowa	4	
49.9972675	19.9013398	Mieczykowa	11	
49.9972322	19.9020879	Mieczykowa	9	
49.9986598	19.9008496	Mieczykowa	14	
49.9989384	19.9010073	Mieczykowa	12	
49.9988651	19.9012734	Mieczykowa	10	
49.9985900	19.9018976	Mieczykowa	8	
49.9984680	19.9020877	Mieczykowa	6	
49.9973747	19.9025785	Mieczykowa	7	
49.9979321	19.9026602	Mieczykowa	5	
49.9981956	19.9019034	Mieczykowa	20	
49.9982989	19.9016784	Mieczykowa	18	
49.9985800	19.9010897	Mieczykowa	16	
49.9978805	19.9013055	Mieczykowa	28	
49.9976035	19.9013198	Mieczykowa	26	
49.9975605	19.9021815	Mieczykowa	24	
49.9980026	19.9004191	Mieczykowa	15	
49.9974691	19.9004256	Mieczykowa	13	
50.0155261	20.0197039	Mieczysławy Ćwiklińskiej	10	Afrodyta
50.0155156	20.0198276	Mieczysławy Ćwiklińskiej	10	Niezapominajka
50.0161391	20.0200405	Mieczysławy Ćwiklińskiej	9	AN
50.0161743	20.0199029	Mieczysławy Ćwiklińskiej	9	Żabka
50.0125868	20.0194086	Aleksandry	11	FUP Kraków 4
50.0152562	20.0203747	Mieczysławy Ćwiklińskiej	12	
50.0197476	20.0160507	Telimeny	9	XXV Liceum Ogólnokształcące im. Stefana Żeromskiego
50.0197468	20.0166248	Telimeny	9	Szkoła Podstawowa Specjalna nr 121 im. św. Franciszka z Asyżu
50.0631939	19.9412087	Szpitalna	28	Elektor
50.0636034	19.9407569	Świętego Marka	20	Unicus Hotel
50.0937742	19.9478821	Józefa Mackiewicza	17	UP Kraków 10
50.0130369	19.9718397	Łużycka	55	Stokrotka
50.0127177	19.9723831	Łużycka	55	UP Kraków 19
50.0183178	19.9829076	Na Kozłówce	10\	
50.0182986	19.9828187	Na Kozłówce	10	Stokrotka
50.0181453	19.9825177	Okólna	4	UP Kraków 47
50.0634157	19.9290713	Krupnicza	20	Dynia
50.0597683	19.9263137	Marszałka Józefa Piłsudskiego	27	Garage Pub
50.0615952	19.9277589	Plac Generała Władysława Sikorskiego	1	Pod Kopytkiem
50.0547655	19.9289332	Bulwar Czerwieński	81	Aquarius - restaurant & cocktail bar
50.0818950	19.9676568	Stanisława ze Skalbmierza	7	
50.0521471	19.9449342	Estery	5	Alchemia
50.0214931	19.8887992	Leona Henryka Sternbacha	1	Centrum Medicover Czerwone Maki
50.0176497	19.8930874	Profesora Michała Bobrzyńskiego	37	Euronet
50.0188480	19.8968566	Chmieleniec	2B	Rękoczyny Cafe & Bakery
50.0581072	19.9462218	Józefa Dietla	90	
50.0562601	19.9445281	Józefa Sarego	28	
50.0556492	19.9404673	Świętego Sebastiana	1	
50.0554987	19.9439785	Świętego Sebastiana	24	
50.0578468	19.9459977	Józefa Dietla	86	
50.0416506	20.0039281	Golikówka	6b	"Zakład Obróbki Metalu ""Detal"""
50.0787087	19.9714710	Pilotów	37	Bankomat Millennium
50.0559589	19.9455162	Józefa Dietla	87	
50.0550940	19.9448138	Józefa Dietla	77	
50.0730685	19.9139180	Kronikarza Galla	15	
50.0684059	20.0132604	Centralna	41	Amavet
50.0661278	20.0182422	Sołtysowska	25B	Orient
50.0688220	20.0175784	Woźniców	17A	
50.0700073	20.0175908	Śliwkowa	12	
50.0690321	20.0182842	Woźniców	22A	
50.0696235	20.0174280	Śliwkowa	20	
50.0688210	20.0176902	Woźniców	17	
50.0697161	20.0174782	Śliwkowa	18	
50.0690426	20.0181177	Woźniców	22	
50.0698180	20.0175105	Śliwkowa	16	
50.0699081	20.0175546	Śliwkowa	14	
50.0439773	19.9471726	Legionów Józefa Piłsudskiego	13	Millennium Bank
50.0714118	19.9404370	Szlak	50	Millennium Bank
50.0837883	19.9344093	Bratysławska	2	
50.0664569	19.9400248	Rynek Kleparski	4	Millennium Bank
50.0492958	19.9257947	Michała Bałuckiego	9	Bankomat Cash4You
50.0147996	19.9316997	Zakopiańska	62	Bankomat Cash4You
50.0440258	19.9472531	Legionów Józefa Piłsudskiego	13	Bankomat Millennium
50.0570348	19.9301831	Zwierzyniecka	24	Millennium Bank
50.0675746	19.8470894	Chełmska	15	Bankomat Santander
50.0570525	19.9302041	Zwierzyniecka	26	Bankomat Millennium
50.0638749	19.9327861	Karmelicka	3	Be Happy! Sweet art and illusion museum
50.0892145	19.9829286	Dobrego Pasterza	126	
50.0610000	19.9442000	Westerplatte	15/16	Bankomat BZ WBK
50.0570070	19.9302171	Zwierzyniecka	26	Bankomat Millennium
50.0301169	19.9116465	Norymberska	1	Bankomat Cash4You
50.0333484	19.9706373	Wielicka	72	Santander
50.0083298	19.9534780	Marii i Bolesława Wysłouchów	27	Bankomat Cash4You
50.0891141	19.9303837	Krowoderskich Zuchów	12	Bankomat BZ WBK
50.0664782	19.9400295	Rynek Kleparski	4	Bankomat Millennium
